common_name,scientific_name,family,continent,countries_native,countries_naturalized,primary_regions,cultures_traditions,traditional_uses_summary,preparations,dosage_notes,phytochemistry_key_compounds,safety_toxicity,drug_herb_interactions,sustainability_status,ethnobotany_notes,image_primary_url,sources
Abuta,Cissampelos pariera,,,,,,,,,,,,,,,,
Acai,Euterpe oleracea,,,,,,,,,,,,,,,,
Acerola,Malpighia glabra,,,,,,,,,,,,,,,,
Achiote,Bixa orellana,,,,,,,,,,,,,,,,
Agrimony,Agrimonia eupatoria,,,,,,,,,,,,,,,,
Alfalfa,Medicago sativa,,,,,,,,,,,,,,,,
Algae Red Marine,Coralline algae,,,,,,,,,,,,,,,,
Allspice,Pimenta dioica,,,,,,,,,,,,,,,,
Aloe Ferox,Aloe ferox,,,,,,,,,,,,,,,,
Aloe Vera,Aloe barbadensis,,,,,,,,,,,,,,,,
Amalaki,Emblica officinalis,,,,,,,,,,,,,,,,
Amor Seco,Desmodium adscendens,,,,,,,,,,,,,,,,
Anamu,Petiveria alliacea,,,,,,,,,,,,,,,,
Andiroba,Carapa guianensis,,,,,,,,,,,,,,,,
Angelica,Angelica archangelica officinalis,,,,,,,,,,,,,,,,
Anise,Pimpinella anisum,,,,,,,,,,,,,,,,
Apple Cider,Malus pumila,,,,,,,,,,,,,,,,
Apple,Malus domestica,,,,,,,,,,,,,,,,
Arnica,Heterotheca inuloides,,,,,,,,,,,,,,,,
Arrowroot,Maranta arundinacea,,,,,,,,,,,,,,,,
Artichoke,Cynara scolymus,,,,,,,,,,,,,,,,
Ashwagandha,Withania somnifera,,,,,,,,,,,,,,,,
Astragalus,Astragalus membranaceus,,,,,,,,,,,,,,,,
Avocado,Persea americana,,,,,,,,,,,,,,,,
Ayahuma,Couroupita guianensis,,,,,,,,,,,,,,,,
Ayapana,Eupatorium triplinerve,,,,,,,,,,,,,,,,
Babul Chall Gum,Acaia arabica,,,,,,,,,,,,,,,,
Balsam Fir Needles,Abies balsamea,,,,,,,,,,,,,,,,
Banisteriopsis Caapi,Banisteriopsis caapi,,,,,,,,,,,,,,,,
Barberry,Berberis vulgaris,,,,,,,,,,,,,,,,
Barley Grass,Hordeum vulgare,,,,,,,,,,,,,,,,
Basil,Ocimum basilicum,,,,,,,,,,,,,,,,
Bat Petals Natural Sea Algae,Gracilaria lichenoides,,,,,,,,,,,,,,,,
Bay,Laurus nobilis,,,,,,,,,,,,,,,,
Bayberry C,Myrica cerifera,,,,,,,,,,,,,,,,
Beet,Beta vulgaris,,,,,,,,,,,,,,,,
Bellaco Caspi,Himatanthus sucuuba,,,,,,,,,,,,,,,,
Benzoin Gum,Styrax benzoin,,,,,,,,,,,,,,,,
Bhringraj,Eclipta prostrata,,,,,,,,,,,,,,,,
Bibhitaki,Terminalia bellerica,,,,,,,,,,,,,,,,
Bilberry,Vaccinium myrtillus,,,,,,,,,,,,,,,,
Birch C,Betula alba,,,,,,,,,,,,,,,,
Bitter Melon,Momordica charantia,,,,,,,,,,,,,,,,
Black Cohosh,Cimicifuga racemosa,,,,,,,,,,,,,,,,
Black Cumin,Nigella sativa,,,,,,,,,,,,,,,,
Black Currant,Ribes nigrum,,,,,,,,,,,,,,,,
Black Walnut Hull,Juglans nigra,,,,,,,,,,,,,,,,
Blackberry,Rubus fruticosus,,,,,,,,,,,,,,,,
Bladderrack,Fucus vesiculosus,,,,,,,,,,,,,,,,
Blessed Thistle,Cnicus benedictus,,,,,,,,,,,,,,,,
Blood,Sanguinaria canadensis,,,,,,,,,,,,,,,,
Blue Lily,Nymphaea caerulea,,,,,,,,,,,,,,,,
Blue Lotus,Nelumbo nucifera,,,,,,,,,,,,,,,,
Blue Vervain,Verbena hastata,,,,,,,,,,,,,,,,
Bobinsana,Calliandra angustifolia,,,,,,,,,,,,,,,,
Boneset,Eupatorium perfoliatum,,,,,,,,,,,,,,,,
Boswellia Serrata,Boswellia serrata,,,,,,,,,,,,,,,,
Brahmi,Bacopa monnieri,,,,,,,,,,,,,,,,
Buckthorn,Rhamnus catharticus,,,,,,,,,,,,,,,,
Buckthorn,Rhamnus frangula,,,,,,,,,,,,,,,,
Buckwheat Hulls,Fagopyrum esculentum,,,,,,,,,,,,,,,,
Bufellio,Bauhinia guianensis,,,,,,,,,,,,,,,,
Bupleurum,Bupleurum radix chinensis,,,,,,,,,,,,,,,,
Burdock,Arctium lappa,,,,,,,,,,,,,,,,
Burdock,Articium lappa,,,,,,,,,,,,,,,,
Buriti,Mauritia flexuosa,,,,,,,,,,,,,,,,
Butchers Broom,Ruscus aculeatus,,,,,,,,,,,,,,,,
Butterfly Pea,Clitoria ternatea,,,,,,,,,,,,,,,,
Butternut,Jugulans cinerea,,,,,,,,,,,,,,,,
Cacao Peru,Theobroma cacao,,,,,,,,,,,,,,,,
Calamus,Acorus calamus,,,,,,,,,,,,,,,,
California Poppy Plant,Eschscholzia californica,,,,,,,,,,,,,,,,
Camu Camu,Myrciaria dubia,,,,,,,,,,,,,,,,
Caneleiro,Cenostigma macrophyllum,,,,,,,,,,,,,,,,
Capinuri,Maquira coriacea,,,,,,,,,,,,,,,,
Caraway,Carum carvi,,,,,,,,,,,,,,,,
Cardamom,Elettaria cardamomum,,,,,,,,,,,,,,,,
Carifillo,Piper carpunya,,,,,,,,,,,,,,,,
Carob,Ceratonia siliqua,,,,,,,,,,,,,,,,
Carrot,Daucus carota,,,,,,,,,,,,,,,,
Cascara Sagrada,Rhamnus purshiana,,,,,,,,,,,,,,,,
Cat'S Claw,Uncaria tomentosa,,,,,,,,,,,,,,,,
Catnip And,Nepeta cataria,,,,,,,,,,,,,,,,
Cattail,Typha domingensis,,,,,,,,,,,,,,,,
Catuaba,Erythroxylum catuaba,,,,,,,,,,,,,,,,
Cayenne,Capsicum annuum,,,,,,,,,,,,,,,,
Cedro,Cedrela odorata,,,,,,,,,,,,,,,,
Celery,Apium graveolens,,,,,,,,,,,,,,,,
Cetico,Cecropia peltata,,,,,,,,,,,,,,,,
Chacruna,Psychotria viridis,,,,,,,,,,,,,,,,
Chaga Mushroom,Inonotus obliquus,,,,,,,,,,,,,,,,
Chaliponga,Diplopterys cabrerana,,,,,,,,,,,,,,,,
Chaparral,Larrea tridentata,,,,,,,,,,,,,,,,
Cherry,Prunus serotina,,,,,,,,,,,,,,,,
Chervil Isfted,Anthriscus cerefolium,,,,,,,,,,,,,,,,
Chia,Salvia hispanica,,,,,,,,,,,,,,,,
Chickweed,Stellaria media,,,,,,,,,,,,,,,,
Chicory,Cichorium intybus,,,,,,,,,,,,,,,,
Chiric Sanango,Brunfelsia grandiflora,,,,,,,,,,,,,,,,
Chives,Allium schoenoprasum,,,,,,,,,,,,,,,,
